POISSON BOLTZMANN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EPB,ENPOLAR,EDISPER,GGAS,GSOLV,TOTAL
154,-0.0,0.0,0.0,0.0,0.0,-0.0,-63.54,-97.57,0.0,-0.0,142.36,-45.04,95.98,-161.11,193.29,32.18
155,-0.0,-0.0,-0.0,0.0,0.0,0.0,-60.47,-109.47,0.0,0.0,142.81,-38.37,88.65,-169.94,193.1,23.16
156,0.0,0.0,0.0,0.0,0.0,-0.0,-50.68,-174.47,-0.0,0.0,192.58,-40.57,88.68,-225.15,240.68,15.54
157,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-57.92,-156.84,0.0,0.0,184.2,-40.68,88.43,-214.77,231.95,17.19
158,0.0,0.0,-0.0,0.0,-0.0,0.0,-58.83,-94.77,0.0,0.0,126.07,-39.29,86.75,-153.61,173.53,19.92
159,-0.0,0.0,0.0,0.0,0.0,0.0,-61.54,-116.94,0.0,-0.0,140.93,-39.31,88.99,-178.48,190.61,12.13
160,-0.0,-0.0,0.0,0.0,-0.0,0.0,-57.1,-56.35,-0.0,0.0,79.18,-36.02,84.27,-113.44,127.44,13.99
161,-0.0,-0.0,0.0,0.0,0.0,-0.0,-58.87,-79.84,0.0,0.0,109.76,-37.49,85.83,-138.71,158.1,19.39
162,0.0,0.0,0.0,0.0,0.0,-0.0,-55.45,-62.01,0.0,0.0,84.59,-35.29,83.43,-117.46,132.72,15.27
163,0.0,0.0,0.0,0.0,-0.0,0.0,-60.86,-77.19,-0.0,0.0,102.99,-38.34,86.92,-138.05,151.57,13.52
164,0.0,-0.0,0.0,-0.0,-0.0,0.0,-65.6,-75.93,0.0,-0.0,112.56,-41.11,93.87,-141.53,165.32,23.79
165,-0.0,0.0,0.0,0.0,-0.0,0.0,-65.4,-82.56,0.0,-0.0,123.6,-40.07,90.24,-147.97,173.77,25.8
